Timestamp,Which format do you prefer to read from?,Choice of pairing beverage?,Do you ever listen to music while reading?,How do you want to read paperbacks/hardcovers ?,How many books have you read during the last six months?,Do you want to connect with fellow book readers?,What genres do you enjoy reading?
03/08/21 20:51,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,5,No,"Fiction, Philosophy, Religion, History, Biography, Travel, In fiction- fantasy fiction to be exact. Adventure books. Enid Blyton( a little kiddish ik). I also would like to read all the Vedas one by one."
03/08/21 20:52,Audiobook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Biography, Humour, Romance, Travel"
03/08/21 20:57,Paperback,Coffee,Nope,I want to build a library duh!,9,Yes,"Fiction, Literature, Philosophy, History, Politics, Romance"
03/08/21 21:39,Paperback,Tea,"Yes, like my life",I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Literature, Religion, Politics"
03/08/21 21:45,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Humour, Romance"
03/08/21 22:13,Paperback,Coffee,Nope,I want to build a library duh!,4,Yes,Fiction
03/08/21 22:14,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,5,No,"Fiction, Biography, Romance, Travel"
03/08/21 22:26,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Religion, History, Film and photography, Politics, Humour, Romance, Travel"
03/08/21 22:39,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Literature, Biography, Humour, Romance, Travel"
03/08/21 22:40,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Humour, Romance, Travel"
03/08/21 23:01,Ebook,Coffee,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,Business
03/08/21 23:08,Paperback,Tea,"Yes, like my life",I want to build a library duh!,6,Yes,"Fiction, Science fiction, Humour"
03/08/21 23:15,Paperback,Alcohol,Nope,I wish I could read them without buying a lot of books,3,No,"Literature, History, Crime, investigative, war. "
03/08/21 23:47,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Literature, Romance"
03/09/21 0:07,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,No,"Fiction, Philosophy"
03/09/21 0:14,Hard cover,No drink necessary,Nope,I want to build a library duh!,2,Yes! no. Well maybe....,"Fiction, Business"
03/09/21 0:15,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Romance"
03/09/21 0:19,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,None other than those required for my coursework
03/09/21 0:27,Hard cover,Coffee,"Yes, like my life",I want to build a library duh!,3,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Humour, Romance"
03/09/21 6:17,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Science fiction, Business, Literature, Philosophy, History, Film and photography, Biography, Politics, Humour"
03/09/21 7:21,Ebook,Tea,"Yes, like my life",I want to build a library duh!,10,Yes,"Business, Literature, Politics"
03/09/21 7:33,Paperback,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,2,Yes! no. Well maybe....,"Fiction, Science fiction, Film and photography, Humour"
03/09/21 7:52,Hard cover,Coffee,Nope,I want to build a library duh!,5,Yes! no. Well maybe....,"Fiction, Business"
03/09/21 8:02,Paperback,There is no connection between books and beverage,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Science fiction, History"
03/09/21 8:07,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,4,Yes,Humour
03/09/21 8:46,Paperback,None,Nope,I want to build a library duh!,5,Yes! no. Well maybe....,"Fiction, Philosophy, Humour, Romance"
03/09/21 9:21,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,Yes,"Fiction, Cosmology"
03/09/21 10:06,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Philosophy, Biography, Romance"
03/09/21 10:18,Hard cover,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Politics, Romance"
03/09/21 11:24,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,1,No,Romance
03/09/21 11:31,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Humour, Romance, Travel"
03/09/21 11:44,Hard cover,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Fiction, History, Biography, Humour, Romance, Travel"
03/09/21 12:04,Hard cover,Alcohol,"Yes, like my life",I wish I could read them without buying a lot of books,4,Yes,"Fiction, Literature, Philosophy, Humour, Romance"
03/09/21 12:53,Hard cover,Tea,Nope,I want to build a library duh!,8,Yes,"Religion, History, Politics, Travel"
03/09/21 12:59,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,Computer Science and Maths books
03/09/21 13:06,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Literature, Philosophy, Religion, History, Politics, Travel, Something else"
03/09/21 13:08,Hard cover,Coffee,Nope,I want to build a library duh!,6,Yes,"Fiction, Science fiction"
03/09/21 13:57,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,6,Yes,"Fiction, Philosophy, Humour, Romance, Something else, Thriller "
03/09/21 14:06,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Fiction, Literature, Humour"
03/09/21 15:12,Hard cover,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,5,Yes,"Fiction, Business, Literature, Religion, History, Romance"
03/09/21 15:52,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes,"Philosophy, Religion"
03/09/21 16:18,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes,"Science fiction, Business"
03/09/21 19:45,Paperback,Tea,Nope,I want to build a library duh!,3,Yes,"Fiction, Science fiction, Business, Philosophy, Biography, Travel"
03/09/21 21:44,Hard cover,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Film and photography, Biography, Travel"
03/10/21 10:26,Paperback,Tea,Nope,I want to build a library duh!,3,Yes,"Fiction, Biography"
03/11/21 18:24,Paperback,Coffee,Nope,I want to build a library duh!,5,Yes,"Fiction, Science fiction, Literature, Philosophy, History, Politics, Romance"
03/11/21 20:13,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,7,Yes! no. Well maybe....,"Fiction, Science fiction, Humour"
03/13/21 13:58,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Religion, Film and photography, Humour, Romance, Travel"
03/14/21 21:50,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,Something else
03/15/21 0:13,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Science fiction, Biography, Humour, Romance"
